anime_id,title,title_english,source,episodes,score,scored_by,rank,popularity
11013,Inu x Boku SS,Inu X Boku Secret Service,Manga,12,7.63,139250,1274,231
2104,Seto no Hanayome,My Bride is a Mermaid,Manga,26,7.89,91206,727,366
5262,Shugo Chara!! Doki,Shugo Chara!! Doki,Manga,51,7.55,37129,1508,1173
721,Princess Tutu,Princess Tutu,Original,38,8.21,36501,307,916
12365,Bakuman. 3rd Season,Bakuman.,Manga,25,8.67,107767,50,426
6586,Yume-iro Pâtissière,,Manga,50,8.03,21618,526,1630
178,Ultra Maniac,Ultramaniac - Magical Girl,Manga,26,7.26,9663,2594,2490
2787,Shakugan no Shana II (Second),Shakugan no Shana: Season II,Light novel,24,7.72,126085,1066,332
4477,Nodame Cantabile: Paris-hen,,Manga,11,8.24,53908,281,988
853,Ouran Koukou Host Club,Ouran High School Host Club,Manga,26,8.34,335137,205,69
4814,Junjou Romantica 2,Junjo Romantica 2,Manga,12,8.15,66565,374,799
7054,Kaichou wa Maid-sama!,Maid Sama!,Manga,26,8.2,315130,314,71
11123,Sekaiichi Hatsukoi 2,Sekai Ichi Hatsukoi - World&#039;s Greatest First Love 2,Manga,12,8.23,53285,288,945
14227,Tonari no Kaibutsu-kun,My Little Monster,Manga,13,7.71,281448,1093,88
269,Bleach,Bleach,Manga,366,7.9,433097,693,18
59,Chobits,Chobits,Manga,26,7.53,175388,1546,188
6045,Kimi ni Todoke,Kimi ni Todoke: From Me to You,Manga,25,8.13,212710,400,111
1735,Naruto: Shippuuden,Naruto: Shippuden,Manga,500,8.18,385179,337,20
210,Ranma ½,Ranma ½,Manga,161,7.85,59911,802,623
4224,Toradora!,Toradora!,Light novel,25,8.39,557898,174,13
10030,Bakuman. 2nd Season,Bakuman.,Manga,25,8.49,122090,108,374
74,Gakuen Alice,Gakuen Alice,Manga,26,7.77,33244,941,1291
4722,Skip Beat!,Skip Beat!,Manga,25,8.24,90699,282,488
